,Exact Match Accuracy,Micro F1 Score,Macro F1 Score,Hamming Loss
MLPClassifier,0.0,0.12643190496393722,0.1221726776611775,0.9325181159420289
DeepMLPClassifier,0.0,0.12643190496393722,0.1221726776611775,0.9325181159420289
AttentiveMLP,0.5217391304347826,0.5841269841269842,0.5712949323512451,0.059329710144927536
